label,key,description,condition,category,technique,track_type,organism,strain,first_author,pubmed_id
DNA,Reference sequence,C. auris B8441 reference sequence,General,Reference sequence,Genome Assembly,Sequence,C. auris,B8441,Lockhart,27988485
Transcribed Features,Transcribed Features,All CGD annotated features,General,Gene Annotation,Annotation,Gene Annotation,C. auris,B8441,CGD,27738138
lncRNA,lncRNA,Long non-coding RNAs,General,Gene Annotation,Annotation,lncRNA,C. auris,B8441,Hovhannisyan ,34916523
Sacc_phyloP_scores,4: Order Saccharomycetales conservation scores,"C. auris B8441 phyloP conservation scores from genomic alignment of 12 Saccharomycetales species: C. auris, C. albicans, C. dubliniensis, C. parapsilosis, L. elongisporus, C. glabrata, C. bracarensis, N. bacillisporus, S. cerevisiae, S. castellii, A. gossypii, and Y. lipolytica cerevisiae, S. castellii, A. gossypii, and Y. lipolytica",Wild-type,Conservation,Genome Alignment,Conservation plot,C. auris,B8441,CGD,24185697
CTG_phyloP_scores,3: Family Debaryomycetaceae conservation scores,"C. auris B8441 phyloP conservation scores from genomic alignment of CTG clade: C. auris, C. lusitaniae, C. guilliermondii, C. albicans, C. dubliniensis, C. tropicalis, C. parapsilosis, C. orthopsilosis, and L. elongisporus",Wild-type,Conservation,Genome Alignment,Conservation plot,C. auris,B8441,CGD,24185697
AurLus_phyloP_scores,2: Clavispora/Meyerozyma group conservation scores,"C. auris B8441 phyloP conservation scores from genomic alignment of Clavispora/Meyerozyma group: C. auris, C. haemulonii, C. duobushaemulonii, C. lusitaniae and C. guilliermondii",Wild-type,Conservation,Genome Alignment,Conservation plot,C. auris,B8441,CGD,24185697
auris_phyloP_scores,1: C. auris group conservation scores,"C. auris B8441 phyloP conservation scores from genomic alignment of C. auris, C. haemulonii and C. duobushaemulonii",Wild-type,Conservation,Genome Alignment,Conservation plot,C. auris,B8441,CGD,24185697
Simm_PP_R1a_control_alignments,Simm et al control (tech rep a; biol rep 1) alignments,"Aligned strand-specific, single-end reads, control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1a_control_coverage,Simm et al control (tech rep a; biol rep 1) coverage,"Read coverage, control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1a_control_density,Simm et al control (tech rep a; biol rep 1) density,"Read density, control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1b_control_alignments,Simm et al control (tech rep b; biol rep 1) alignments,"Aligned strand-specific, single-end reads, control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1b_control_coverage,Simm et al control (tech rep b; biol rep 1) coverage,"Read coverage, control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1b_control_density,Simm et al control (tech rep b; biol rep 1) density,"Read density, control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1a_expt_alignments,Simm et al DGE in presence of pyrvinium pamoate (tech rep a; biol rep 1) alignments,"Aligned strand-specific, single-end reads, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1a_expt_coverage,Simm et al DGE in presence of pyrvinium pamoate (tech rep a; biol rep 1) coverage,"Read coverage, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1a_expt_density,Simm et al DGE in presence of pyrvinium pamoate (tech rep a; biol rep 1) density,"Read density, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
