label,key,description,condition,category,technique,track_type,organism,strain,first_author,pubmed_id
DNA,Reference sequence,C. dubliniensis CD36 reference sequence,General,Reference sequence,Genome Assembly,Sequence,C. dubliniensis,CD36,Jackson,19745113
Transcribed Features,Transcribed Features,All CGD annotated features,General,Gene Annotation,Annotation,Gene Annotation,C. dubliniensis,CD36,CGD,24185697
Sacc_phyloP_scores,4: Order Saccharomycetales conservation scores,"C. dubliniensis CD36 phyloP conservation scores from genomic alignment of 12 Saccharomycetales species: C. dubliniensis, C. albicans, C. parapsilosis, L. elongisporus, D. hansenii, C. glabrata, C. bracarensis, N. bacillisporus, S. cerevisiae, S. castellii, A. gossypii, and Y. lipolytica",Wild-type,Conservation,Genome Alignment,Conservation plot,C. dubliniensis,CD36,CGD,24185697
CTG_phyloP_scores,3: Family Debaryomycetaceae conservation scores,"C. dubliniensis CD36 phyloP conservation scores from genomic alignment of CTG clade: C. dubliniensis, C. albicans, C. tropicalis, C. parapsilosis, C. orthopsilosis, L. elongisporus, C. guilliermondii, D. hansenii, C. lusitaniae",Wild-type,Conservation,Genome Alignment,Conservation plot,C. dubliniensis,CD36,CGD,24185697
CanLod_phyloP_scores,2: Candida/Lodderomyces clade conservation scores,"C. dubliniensis CD36 phyloP conservation scores from genomic alignment of Candida/Lodderomyces clade: C. dubliniensis, C. albicans, C. tropicalis, C. parapsilosis, C. orthopsilosis, L. elongisporus",Wild-type,Conservation,Genome Alignment,Conservation plot,C. dubliniensis,CD36,CGD,24185697
alb_dub_phyloP_scores,1: albicans group conservation scores,"C. dubliniensis CD36 phyloP conservation scores from genomic alignment of C. dubliniensis, C. albicans and C. tropicalis",Wild-type,Conservation,Genome Alignment,Conservation plot,C. dubliniensis,CD36,CGD,24185697
Grumaz_WT_hyphal_rep3_alignments,Grumaz et al DGE for hyphal cells (rep 3) alignments,"Aligned non-strand-specific single-end reads, CD36_hyphal",10% serum,Gene Expression,RNA-Seq,Aligned reads,C. dubliniensis,CD36,Grumaz,23547856
Grumaz_WT_hyphal_rep3_coverage,Grumaz et al DGE for hyphal cells (rep 3) coverage,"Read coverage, CD36_hyphal",10% serum,Gene Expression,RNA-Seq,Coverage Plot,C. dubliniensis,CD36,Grumaz,23547856
Grumaz_WT_hyphal_rep3_density,Grumaz et al DGE for hyphal cells (rep 3) density,"Read density, CD36_hyphal",10% serum,Gene Expression,RNA-Seq,Density Plot,C. dubliniensis,CD36,Grumaz,23547856
Grumaz_WT_control_rep3_alignments,Grumaz et al control (rep 3) alignments,"Aligned non-strand-specific single-end reads, CD36_control",control,Gene Expression,RNA-Seq,Aligned reads,C. dubliniensis,CD36,Grumaz,23547856
