label,key,description,condition,category,technique,track_type,organism,strain,first_author,pubmed_id
,,,,,,,,,,
DNA,Reference sequence,C. glabrata CBS138,General,Reference sequence,Genome Assembly,Sequence,C. glabrata,CBS138,Dujon,15229592
,,,,,,,,,,
Transcribed Features,Transcribed Features,CGD Annotated Features,General,Gene Annotation,Annotation,Gene Annotation,C. glabrata,CBS138,CGD,24185697
,,,,,,,,,,
lncRNA,lncRNA,Long non-coding RNAs,General,Gene Annotation,Annotation,lncRNA,C. glabrata,CBS138,Hovhannisyan ,34916523
,,,,,,,,,,
Sacc_phyloP_scores,4: Order Saccharomycetales conservation scores,"C. glabrata CBS138 phyloP conservation scores from genomic alignment of 12 Saccharomycetales species: C. glabrata, C. bracarensis, N. bacillisporus, S. cerevisiae, S. castellii, A. gossypii, C. albicans, C. dubliniensis, C. parapsilosis, L. elongisporus, D. hansenii, and Y. lipolytica",Wild-type,Conservation,Genome Alignment,Conservation plot,C. glabrata,CBS138,CGD,24185697
,,,,,,,,,,
WGD_phyloP_scores,3. WGD clade conservation scores,"C. glabrata CBS138 phyloP conservation scores from genomic alignment of WGD clade: C. glabrata, C. bracarensis, C. nivariensis, N. bacillisporus, C. castellii, S. cerevisiae, S. mikatae, S. bayanus, S. castellii",Wild-type,Conservation,Genome Alignment,Conservation plot,C. glabrata,CBS138,CGD,24185697
,,,,,,,,,,
CanNak_phyloP_scores,2: Genus Nakaseomyces conservation scores,"C. glabrata CBS138 phyloP conservation scores from genomic alignment of Nakaseomyces/Candida clade: C. glabrata, C. bracarensis, C. nivariensis, N. bacillisporus, C. castellii",Wild-type,Conservation,Genome Alignment,Conservation plot,C. glabrata,CBS138,CGD,24185697
,,,,,,,,,,
glab_phyloP_scores,1: glabrata group conservation scores,"C. glabrata CBS138 phyloP conservation scores from genomic alignment of C. glabrata, C. bracarensis and C. nivariensis",Wild-type,Conservation,Genome Alignment,Conservation plot,C. glabrata,CBS138,CGD,24185697
,,,,,,,,,,
linde_ypd_1_alignments,Linde & Duggan Nitrosative Stress Control (rep 1) Alignments,"Aligned strand-specific, paired-end reads, nitrosative stress control (YPD)",Control,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ypd_1_coverage,Linde & Duggan Nitrosative Stress Control (rep 1) Coverage,"Read coverage, nitrosative stress control (YPD)",Control,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ypd_1_density,Linde & Duggan Nitrosative Stress Control (rep 1) Density,"Read density, nitrosative stress control (YPD)",Control,Gene Expression,RNA-Seq,Density plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ypd_2_alignments,Linde & Duggan Nitrosative Stress Control (rep 2) Alignments,"Aligned strand-specific, paired-end reads, nitrosative stress control (YPD)",Control,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ypd_2_coverage,Linde & Duggan Nitrosative Stress Control (rep 2) Coverage,"Read coverage, nitrosative stress control (YPD)",Control,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ypd_2_density,Linde & Duggan Nitrosative Stress Control (rep 2) Density,"Read density, nitrosative stress control (YPD)",Control,Gene Expression,RNA-Seq,Density plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ypd_3_alignments,Linde & Duggan Nitrosative Stress Control (rep 3) Alignments,"Aligned strand-specific, paired-end reads, nitrosative stress control (YPD)",Control,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ypd_3_coverage,Linde & Duggan Nitrosative Stress Control (rep 3) Coverage,"Read coverage, nitrosative stress control (YPD)",Control,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ypd_3_density,Linde & Duggan Nitrosative Stress Control (rep 3) Density,"Read density, nitrosative stress control (YPD)",Control,Gene Expression,RNA-Seq,Density plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_gsno_1_alignments,Linde & Duggan Nitrosative Stress (rep 1) Alignments,"Aligned strand-specific, paired-end reads, nitrosative stress (YPD + GSNO)",Nitrosative Stress,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_gsno_1_coverage,Linde & Duggan Nitrosative Stress (rep 1) Coverage,"Read coverage, nitrosative stress (YPD + GSNO)",Nitrosative Stress,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_gsno_1_density,Linde & Duggan Nitrosative Stress (rep 1) Density,"Read density, nitrosative stress (YPD + GSNO)",Nitrosative Stress,Gene Expression,RNA-Seq,Density plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_gsno_2_alignments,Linde & Duggan Nitrosative Stress (rep 2) Alignments,"Aligned strand-specific, paired-end reads, nitrosative stress (YPD + GSNO)",Nitrosative Stress,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_gsno_2_coverage,Linde & Duggan Nitrosative Stress (rep 2) Coverage,"Read coverage, nitrosative stress (YPD + GSNO)",Nitrosative Stress,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
