SRR_ID	Condition_Label	Assay_Type	Role	Target	Control_SRR	Replicate	Strain	Notes
SRR2939034	Wor4-GFP white cells (rep 1)	ChIP-seq	IP	WOR4	SRR2939028,SRR2939029,SRR2939030	1	1295A	GSM1943649
SRR2939035	Wor4-GFP white cells (rep 2)	ChIP-seq	IP	WOR4	SRR2939028,SRR2939029,SRR2939030	2	1295B	GSM1943650
SRR2939036	Wor4-GFP white cells (rep 3)	ChIP-seq	IP	WOR4	SRR2939028,SRR2939029,SRR2939030	3	1295C	GSM1943651
SRR2939037	Wor4-GFP opaque cells (rep 1)	ChIP-seq	IP	WOR4	SRR2939031,SRR2939032,SRR2939033	1	1304A	GSM1943652
SRR2939038	Wor4-GFP opaque cells (rep 2)	ChIP-seq	IP	WOR4	SRR2939031,SRR2939032,SRR2939033	2	1304B	GSM1943653
SRR2939039	Wor4-GFP opaque cells (rep 3)	ChIP-seq	IP	WOR4	SRR2939031,SRR2939032,SRR2939033	3	1304C	GSM1943654
SRR2939028	Untagged white control (rep 1)	ChIP-seq	control		 	1	135A	GSM1943643
SRR2939029	Untagged white control (rep 2)	ChIP-seq	control		 	2	135B	GSM1943644
SRR2939030	Untagged white control (rep 3)	ChIP-seq	control		 	3	135C	GSM1943645
SRR2939031	Untagged opaque control (rep 1)	ChIP-seq	control		 	1	136A	GSM1943646
SRR2939032	Untagged opaque control (rep 2)	ChIP-seq	control		 	2	136B	GSM1943647
SRR2939033	Untagged opaque control (rep 3)	ChIP-seq	control		 	3	136C	GSM1943648
