label,key,description,condition,category,technique,track_type,organism,strain,haplotype,first_author,pubmed_id
,,,,,,,,,,,
DNA,Reference sequence,Assembly 22 reference sequence,General,Reference sequence,Genome Assembly,Sequence,C. albicans,SC5314,Both,CGD,24185697
,,,,,,,,,,,
Transcribed Features,Transcribed Features,All CGD annotated features,General,Gene Annotation,Annotation,Gene Annotation,C. albicans,SC5314,Both,CGD,24185697
,,,,,,,,,,,
lncRNA,lncRNA,Long non-coding RNAs,General,Gene Annotation,Annotation,lncRNA,C. albicans,SC5314,A,Hovhannisyan ,34916523
,,,,,,,,,,,
segal_hapA_transposon_hits,Segal HapA Transposon Mutagenesis Independent Hits,"Independent hits, combined experiments, Hap A",Wild-type,Mutagenesis,DNA-Seq,Coverage plot,C. albicans,SC5314,A,Segal,30377286
,,,,,,,,,,,
segal_hapA_transposon_reads,Segal HapA Transposon Mutagenesis Read Depth,"Total reads, combined experiments, Hap A",Wild-type,Mutagenesis,DNA-Seq,Coverage plot,C. albicans,SC5314,A,Segal,30377286
,,,,,,,,,,,
segal_hapB_transposon_hits,Segal HapB Transposon Mutagenesis Independent Hits,"Independent hits, combined experiments, Hap B",Wild-type,Mutagenesis,DNA-Seq,Coverage plot,C. albicans,SC5314,B,Segal,30377286
,,,,,,,,,,,
segal_hapB_transposon_reads,Segal HapB Transposon Mutagenesis Read Depth,"Total reads, combined experiments, Hap B",Wild-type,Mutagenesis,DNA-Seq,Coverage plot,C. albicans,SC5314,B,Segal,30377286
,,,,,,,,,,,
muzzey_wt_hapA_alignments,Muzzey HapA WT Alignments,"Aligned paired-end reads, wild-type, Hap A",Control,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,SC5314,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_wt_hapA_coverage,Muzzey HapA WT Coverage,"Read coverage, wild-type, Hap A",Wild-type,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,SC5314,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_wt_hapA_density,Muzzey HapA WT Density,"Read density, wild-type, Hap A",Wild-type,Genome Sequence,DNA-Seq,Density plot,C. albicans,SC5314,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_wt_hapA_vcf,Muzzey HapA WT Sequence Variants,"Sequence variants, wild-type, Hap A",Wild-type,Sequence Variants,DNA-Seq,Variant,C. albicans,SC5314,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_wt_hapB_alignments,Muzzey HapB WT Alignments,"Aligned paired-end reads, wild-type, Hap B",Wild-type,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,SC5314,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_wt_hapB_coverage,Muzzey HapB WT Coverage,"Read coverage, wild-type, Hap B",Wild-type,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,SC5314,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_wt_hapB_density,Muzzey HapB WT Density,"Read density, wild-type, Hap B",Wild-type,Genome Sequence,DNA-Seq,Density plot,C. albicans,SC5314,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_wt_hapB_vcf,Muzzey HapB WT Sequence Variants,"Sequence variants, wild-type, Hap B",Wild-type,Sequence Variants,DNA-Seq,Variant,C. albicans,SC5314,B,Muzzey,24025428
,,,,,,,,,,,
